feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
TCA..TCA.cycle.I..prokaryotic.	antibiotics	yes	0.975817606	0.410456514	22	18	0.017435367	0.147038159
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	age	age	-0.125472215	0.053286263	22	22	0.018538552	0.151579929
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	status	uninfected	-2.589448301	1.101684494	22	13	0.018751002	0.152420425
CRNFORCAT.PWY..creatinine.degradation.I	stay_years	stay_years	1.964298424	0.843272818	22	13	0.019839221	0.154924251
P23.PWY..reductive.TCA.cycle.I	stay_years	stay_years	1.602757101	0.686110383	22	15	0.019490995	0.154924251
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	spike_inhibition	yes	0.863491298	0.36934608	22	18	0.019392844	0.154924251
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	antibiotics	yes	1.8464188	0.790752538	22	9	0.019542653	0.154924251
PWY.5005..biotin.biosynthesis.II	spike_inhibition	yes	0.979326771	0.418896022	22	17	0.019393705	0.154924251
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	status	uninfected	-2.657119514	1.138768272	22	14	0.019630954	0.154924251
PWY.7003..glycerol.degradation.to.butanol	age	age	0.044684084	0.019182737	22	1	0.019838388	0.154924251
PWY.6749..CMP.legionaminate.biosynthesis.I	antibiotics	yes	-5.441404479	2.339663878	22	19	0.020033461	0.155567098
PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	spike_inhibition	yes	3.837448211	1.652423856	22	11	0.020215997	0.155997287
PWY.6143..CMP.pseudaminate.biosynthesis	spike_inhibition	yes	-1.536658267	0.662207189	22	19	0.020313316	0.155997287
PWY.7688..dTDP..alpha..D.ravidosamine.and.dTDP.4.acetyl..alpha..D.ravidosamine.biosynthesis	spike_inhibition	yes	-1.152559408	0.497370229	22	20	0.020487026	0.156172946
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	status	uninfected	-1.799699827	0.777088625	22	15	0.020560899	0.156172946
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.	stay_years	stay_years	0.203063294	0.087959895	22	22	0.020966369	0.156684153
PWY.6328..L.lysine.degradation.X	spike_inhibition	yes	2.393550768	1.036611525	22	16	0.020942791	0.156684153
PWY0.1221..putrescine.degradation.II	stay_years	stay_years	1.879207266	0.812639959	22	12	0.020751679	0.156684153
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	antibiotics	yes	0.105490977	0.045827168	22	22	0.021339066	0.158616587
PWY.5723..Rubisco.shunt	status	uninfected	-1.664953316	0.724527656	22	18	0.021562672	0.158826313
PWY0.781..aspartate.superpathway	spike_inhibition	yes	0.847079563	0.368711834	22	18	0.021595808	0.158826313
PWY.5973..cis.vaccenate.biosynthesis	spike_inhibition	yes	-0.075963503	0.033275368	22	22	0.022437736	0.164149756
PWY.5004..superpathway.of.L.citrulline.metabolism	antibiotics	yes	1.923526184	0.844691706	22	11	0.022774693	0.164266817
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	age	age	-0.376412405	0.165337468	22	21	0.02280827	0.164266817
SO4ASSIM.PWY..assimilatory.sulfate.reduction.I	spike_inhibition	yes	0.457087895	0.200645694	22	22	0.022721529	0.164266817
PWY.6749..CMP.legionaminate.biosynthesis.I	spike_inhibition	yes	-1.538062742	0.676664587	22	19	0.023025812	0.164978753
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.	status	uninfected	-2.357977025	1.039877979	22	17	0.023356548	0.166490263
PWY.8134..bile.acid.7.beta..dehydroxylation	spike_inhibition	yes	-1.107096958	0.489448071	22	18	0.023701769	0.168089073
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	antibiotics	yes	0.414596413	0.1838858	22	22	0.024155889	0.170440032
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	status	uninfected	-0.900088103	0.403347758	22	19	0.025645144	0.180034091
GLUCARDEG.PWY..D.glucarate.degradation.I	spike_inhibition	yes	0.507607142	0.228719081	22	22	0.026463086	0.182097473
ORNDEG.PWY..superpathway.of.ornithine.degradation	status	uninfected	-1.441067944	0.648546431	22	18	0.026283538	0.182097473
PWY.6906..chitin.derivatives.degradation	spike_inhibition	yes	0.150580855	0.067712133	22	22	0.026159306	0.182097473
PWY.7616..methanol.oxidation.to.carbon.dioxide	spike_inhibition	yes	2.663693161	1.199962875	22	12	0.026431466	0.182097473
