genus	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Eisenbergiella	0.1419684910092361	0.4287922291084726	0.1638910509351813	0.0688637176773108	0.0346901538136905	0.0454426156098833	0.1923565606590943	0.0530290333272769	0.0473258261739752	0.1554707367162924	0.1720767364392564	0.1545747850865834	0.0199153069413231	0.023237262759658	0.2627368322506014	0.1455098787608598	0.1892714341312789	0.1889480414529624	1.3720231018254565	2.596530742288388	0.3472922311752479	0.1078318896477531
Anaerovorax	0.1408321370257043	0.132663332010573	0.1389968656179301	0.0016082138644864	0.0	0.0001067692034933	0.0	0.0	0.0	0.0006236942232395	0.0004461280498001	0.0075052253429073	0.0005954152454567	0.0002473929115096	0.0181053463371256	0.0248465641943748	0.0460796935391017	0.0	0.0	0.3523781173679474	0.0108189685977386	0.004790640863437
GGB3109	0.1388624567875826	0.2696850752320064	0.5008114149870682	0.0490746460748047	0.0285707745881022	0.0299857201503134	0.0058260663526278	0.0258236862580469	0.0253850352676537	0.0061258733981195	0.0008150416294425	0.0197660658224495	0.0436874827860529	0.0464656900581908	0.0	0.0995262374208478	0.1239253490415763	0.0456881514348547	0.0366548214935509	0.055961855452499	0.1168131385711082	0.0941479846282548
GGB9474	0.1264804070855438	0.3335022732310273	0.3143215716048761	0.0108795667932509	0.0104833333113966	0.0091821515004246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1775916924583149	0.0867803992300366	0.0	0.0	0.0	0.0	0.0
Intestinimonas	0.0996961228218542	0.2514551821865808	0.0316590978895453	0.0	0.0142402712273745	0.0234974377841815	0.0027509546386844	0.0446231872308536	0.0	0.2211209615296128	0.1941600749043632	0.2845068371924227	0.0040523783869894	0.0066177603828836	0.0333152326627264	0.2407054650281107	0.1029355043861666	0.0510677273013471	0.1464024448626709	0.0	0.0246265103112105	0.1394806979051401
Rikenellaceae_unclassified	0.0945278165560134	0.0600203513095598	0.2515663967184859	0.2890603600027989	0.1986993605649152	0.3665468886081864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188379326051018	0.0	0.0	0.0	0.0	0.0	0.3314310889409088	0.5547715012653563
Phascolarctobacterium	0.0927601548038528	0.0654767468831562	0.014950370166171	0.2868169016618402	0.0115169013843512	0.0802986540426224	0.4980629656344285	0.3756156339460069	1.113696848020751	0.3456120372395154	0.3971998138768637	0.1674841185393031	0.0	0.0	0.102902206855369	0.0	0.0	0.8338087636860998	0.7667068021586466	0.0	0.3062118727883099	0.3434396844527453
Clostridium	0.092112012161394	0.2953494120159573	0.2670018310383683	0.5517620947666644	1.3157321568712084	1.1885794123344866	0.0106358564693086	0.0062041027392477	0.0027588657604627	0.2677100656299558	0.323031025597591	0.100628816291193	1.763477768327661	1.0086385711471662	0.1910654757002648	1.7819798361981856	3.141664523144557	0.4567370391672992	0.3036556189464569	0.0	0.0640539707179384	0.4319221416769
Faecalicatena	0.0840144378491157	0.0605819158309591	0.0624866572298714	0.0240749615513625	0.0068658450560555	0.0096995714865845	0.5490519974724649	0.6568593775178535	0.3570388726606371	0.0205221030715246	0.0051476313438477	0.0299084959229452	0.0201730239878641	0.0207103208778093	0.0101253887752422	0.0227818497049831	0.0199467019867095	0.0308242048463947	0.0373660603393794	0.0181315041311509	0.0197262521577595	0.0304426539974436
Marvinbryantia	0.0734253022099826	0.1692991308618628	0.0135991200236898	8.845176254675608e-05	0.0	0.0	0.0	0.0010429310639252	0.0	0.0107736769247263	0.0128948165163385	0.0200427561576718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2829711254302047	1.2729089524003652
Lawsonibacter	0.0683832574978675	0.0340710414848988	0.0088870682447807	0.0561829513558349	0.1421402187948995	0.1330508535839709	0.0683358158654097	0.208327708504251	0.3796563664893361	0.2763905222164126	0.2528688103809465	0.0432242183055227	0.165098872090987	0.1569354605083828	0.0238788238299856	0.1813799186189361	0.1618322465415579	0.0243058246100603	0.1608700838241576	0.0334452166424868	0.041906807377043	0.057801969992356
Streptococcus	0.0651425442855732	0.046048290754744	0.0646521222017966	1.133227899610394	0.0148636932396328	0.22825613103739	0.1985155450890152	0.271884105818671	0.1090099002522453	0.1194929781675037	0.1164222622266894	0.4128911527356118	0.0248741383885602	0.0730869344288561	0.3765406204746637	1.180360528666362	0.8712690401216141	1.6345497079464146	0.1058011151392179	0.0066205255991401	3.658973510161275	1.5742691424604385
Raoultibacter	0.0563294878355157	0.0455202524734282	0.0424344515898447	0.0136296125015228	0.0039374021826841	0.0048785312980789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015532573134114	0.0464998199623599	0.0455807992192886	0.0454246966925779	0.1005275393067335	0.0	0.0	0.0022424276382045
Candidatus_Borkfalkia	0.050672970228602	0.030693272796482	0.0272675349264812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB2980	0.0489137259133565	0.0758614997490331	0.0087831259261283	0.0	0.0	0.0	0.0523557481553446	0.0545800590120888	0.0056912450907658	0.0613527153025056	0.0358189347676071	0.0995998741070847	0.0096688326426415	0.0063438610879979	0.1756898853378598	0.1116520606509195	0.0726299421589739	0.0	0.0	0.0	0.0998751082587535	0.0531727159665171
Turicibacter	0.047987807852701	0.1611103467214578	0.074561289913326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002014651503338	0.0	0.0	0.0	0.4923731641884579	0.3211609506782354	0.0	0.0	0.0	0.0	0.0
GGB9537	0.0420450973906756	0.0495182566033905	0.0573674980362404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003753230999784	0.0	0.0	0.0	0.0	0.0108523604761266	0.0022254395500363
Ruminococcus	0.0407067249211826	0.0616631370736533	0.0581557272860212	4.789067902776981	2.9716804710899734	3.04658530454072	0.0	0.0	0.0	3.732886819896807	3.264344678544317	6.909165188254501	3.403295788289185	4.606473683232264	0.0	0.0	0.0	0.0	0.0	0.0	2.114991489283538	2.93012243534212
