feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	spike_inhibition	yes	5.44609032095111	1.98262295100009	22	9	0.00601593156787359	0.106012452628992
PWY.7185..UTP.and.CTP.dephosphorylation.I	stay_years	stay_years	1.15887755442587	0.423177968260293	22	19	0.00617180809247318	0.107448948115949
GLYCOCAT.PWY..glycogen.degradation.I	spike_inhibition	yes	-0.129893251205361	0.0475710669679629	22	22	0.00632365067981013	0.107502061556772
PWY.5690..TCA.cycle.II..plants.and.fungi.	spike_inhibition	yes	-0.329752035334993	0.120700955273331	22	22	0.00629558497217327	0.107502061556772
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	spike_inhibition	yes	0.549293700524028	0.201741875017793	22	21	0.0064740047670016	0.108778335910666
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	stay_years	stay_years	0.697801064572745	0.257277089948507	22	21	0.00668271689804554	0.110994550777883
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	stay_years	stay_years	0.209170353969601	0.0772900199546762	22	22	0.0068036562441164	0.111719128099411
PWY.7992..superpathway.of.menaquinol.8.biosynthesis.III	status	uninfected	-1.96524347760787	0.730015149955527	22	18	0.00710124914384716	0.115295561942238
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation	spike_inhibition	yes	0.253096155082477	0.0944258401958402	22	22	0.00735409027758721	0.116776488473775
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	spike_inhibition	yes	0.626648149848851	0.233722487062092	22	22	0.00733667084779994	0.116776488473775
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis	spike_inhibition	yes	0.4290833210622	0.162083358623268	22	22	0.00811372702165519	0.127438429850997
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	stay_years	stay_years	0.203851846191023	0.0772769927134413	22	22	0.00834120514127649	0.129602596012307
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	antibiotics	yes	1.92013609912575	0.729599401650974	22	19	0.00849419331355119	0.130513407491257
PWY.5675..nitrate.reduction.V..assimilatory.	antibiotics	yes	2.20399708523759	0.838751806512597	22	16	0.00859615912053927	0.130513407491257
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	spike_inhibition	yes	1.8051102078259	0.687721652433965	22	16	0.0086707869336752	0.130513407491257
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	spike_inhibition	yes	3.75197200058907	1.43710258338583	22	9	0.00903335391578446	0.130981876236643
GALACTITOLCAT.PWY..galactitol.degradation	spike_inhibition	yes	0.997950221819286	0.383409686112593	22	21	0.00924577949905713	0.130981876236643
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.	spike_inhibition	yes	1.50959947748398	0.579280480517116	22	17	0.0091608980083716	0.130981876236643
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	spike_inhibition	yes	0.171170033742136	0.0656128936535512	22	22	0.00908639033604423	0.130981876236643
PWY.5845..superpathway.of.menaquinol.9.biosynthesis	spike_inhibition	yes	0.354681559248965	0.136042979465952	22	22	0.00913050289201348	0.130981876236643
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	spike_inhibition	yes	-3.01937437795446	1.15945686869957	22	10	0.00921082849329674	0.130981876236643
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis	spike_inhibition	yes	0.45603135234247	0.17581137597734	22	22	0.00949031505705241	0.133140827742143
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis	spike_inhibition	yes	1.02031021533855	0.39509721950527	22	19	0.00981077640532359	0.135082230067929
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis	spike_inhibition	yes	1.07121630249213	0.415363735475773	22	19	0.00990914628872002	0.135082230067929
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.	spike_inhibition	yes	1.02053715455604	0.395264847422	22	19	0.00982560023297473	0.135082230067929
PWY.4984..urea.cycle	spike_inhibition	yes	-0.211741016362357	0.0826259840476497	22	22	0.0103878377265389	0.136946867561874
PWY.5677..succinate.fermentation.to.butanoate	stay_years	stay_years	-1.08685873998869	0.424923675202775	22	20	0.0105344522531051	0.136946867561874
PWY.5747..2.methylcitrate.cycle.II	antibiotics	yes	4.03219247946828	1.57639679993588	22	13	0.0105320373395863	0.136946867561874
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	antibiotics	yes	0.495131456098011	0.192651415557407	22	22	0.0101672128435931	0.136946867561874
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	spike_inhibition	yes	0.209181930539832	0.0817829742215777	22	22	0.01053461403656	0.136946867561874
PWY.5973..cis.vaccenate.biosynthesis	status	uninfected	0.154425276235934	0.0604371540443585	22	22	0.0106145668975293	0.136946867561874
PWY.7874..L.threonate.degradation	stay_years	stay_years	1.79761763123386	0.707771988614097	22	8	0.0110907660874999	0.14182439819856
ORNDEG.PWY..superpathway.of.ornithine.degradation	spike_inhibition	yes	0.972911117257826	0.383729354366585	22	18	0.0112315889564741	0.142365316158816
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	status	uninfected	-2.75467717628749	1.08828265745955	22	16	0.0113668212758598	0.142826580379282
P124.PWY..Bifidobacterium.shunt	age	age	-1.92604367410314	0.762474261936145	22	17	0.0115354972655403	0.143271247067582
PWY.5104..L.isoleucine.biosynthesis.IV	spike_inhibition	yes	1.69528614130251	0.67164804569688	22	14	0.0116005092781364	0.143271247067582
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	spike_inhibition	yes	0.215155384233832	0.0853905661923229	22	22	0.0117467496223114	0.143847908510508
PWY.7013...S..propane.1.2.diol.degradation	spike_inhibition	yes	0.209919597329014	0.0835204358909996	22	22	0.0119576376390888	0.144190297683943
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	spike_inhibition	yes	1.25615539661259	0.499882491561956	22	15	0.0119742807765212	0.144190297683943
PWY.7942..5.oxo.L.proline.metabolism	spike_inhibition	yes	1.59404014340188	0.635548933926892	22	17	0.012137157460932	0.144943739926006
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	age	age	-0.539822915170247	0.21554829856387	22	19	0.0122653231577143	0.145273704613911
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	status	uninfected	-1.60187137519879	0.642663850515698	22	9	0.0126829697399403	0.148321493683316
PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis	spike_inhibition	yes	0.621692244313144	0.249832373423739	22	22	0.0128305790383491	0.148321493683316
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	status	uninfected	-0.891792786047769	0.358006073627694	22	21	0.0127384463670013	0.148321493683316
PWY.6953..dTDP.3.acetamido..alpha..D.fucose.biosynthesis	stay_years	stay_years	-1.28584943249764	0.518525978543923	22	18	0.0131449901293653	0.150750085213753
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	spike_inhibition	yes	1.44518601635648	0.584649197165264	22	17	0.013440246367335	0.151820746076312
GALACTARDEG.PWY..D.galactarate.degradation.I	spike_inhibition	yes	0.456760032710389	0.186034437659551	22	22	0.0140788788748968	0.151820746076312
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	spike_inhibition	yes	0.456760032710389	0.186034437659551	22	22	0.0140788788748968	0.151820746076312
PWY.5747..2.methylcitrate.cycle.II	status	uninfected	-3.62995330406224	1.47121105725501	22	13	0.0136127393043452	0.151820746076312
PWY.6583..pyruvate.fermentation.to.butanol.I	age	age	0.0759855037454342	0.0308347848534236	22	1	0.0137289310894833	0.151820746076312
