	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-6174: mevalonate pathway II (haloarchaea)	0	2.23286	0	1.50766	0	8.28492	0	6.99204	0	0	0	2.17626	0	0	0	0	1.62605	0	2.10336	4.00604	0	0
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0.625885	0	0	0.716234	0	0	0	0.335422	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	0.632728	0	0	0.851575	0	0	0	0	0	0
PWY-6210: 2-aminophenol degradation	0	0	0	0	1.63711	0	1.02387	0.609994	0	4.00712	0	0	0.644703	0	0.291622	1.18657	0	0	0	0	0	0.131603
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0.518377	1.88404	0	0	1.11438	0.545593	0	0	1.08481	0	0.156864
PWY-621: sucrose degradation III (sucrose invertase)	107.888	76.8801	219.871	27.2079	57.7498	103.989	187.91	39.7406	121.943	81.3717	27.3663	98.4539	167.382	32.3554	66.0649	84.0298	102.094	21.9586	96.6221	35.7112	138.113	139.382
PWY-622: starch biosynthesis	128.2	164.843	3.79875	0	0	0	7.93632	32.4937	180.02	0	0	0	15.549	6.84724	0	1.96212	0	0	0	0	53.7322	80.1817
PWY-6270: isoprene biosynthesis I	289.066	286.517	346.666	269.69	385.733	276.982	337.051	303.391	297.575	324.899	164.639	346.239	300.869	299.799	319.8	314.123	334.949	270.841	245.832	259.242	331.723	380.7
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	387.972	462.368	391.246	411.696	506.476	441.711	384.83	402.31	461.641	429.491	401.899	445.529	418.516	422.621	489.156	539.952	444.357	432.963	381.722	540.41	483.861	503.617
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	111.148	87.8351	233.241	5.99673	25.8683	122.793	185.196	73.0281	72.3619	72.9621	31.6438	35.5756	176.545	7.77151	63.0148	79.8452	31.4881	5.81516	78.1676	27.065	74.5546	80.5504
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	167.155	0	28.558	0	132.144	2.26681	0	14.7847	17.5406	0	99.3462	4.12899	0	24.1699	4.34303	0	0	2.79535	44.6565	60.6931
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	204.4	0	29.5437	0	162.133	4.45754	0	26.1925	0	0	134.816	5.74618	0	39.4998	8.04278	0	0	5.24056	0	6.25359
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0	12.5224	50.1863	18.3494	19.5228	15.0608	23.2768	6.92891	31.3818	2.373	15.7441	64.9275	83.3755	14.819	0.876411	2.00096	36.4615	12.5366	27.6158	4.8031	135.138	123.802
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	66.4229	0	20.5866	0.963531	41.1616	2.67591	12.0613	4.57658	0	0.498194	55.4538	1.92404	0.940357	3.99865	1.55464	0.845181	0	3.84541	0	0.572111
PWY-6305: superpathway of putrescine biosynthesis	94.7549	52.8321	219.839	15.2978	57.4502	92.1944	220.7	73.9388	103.184	69.5974	28.2886	75.3221	184.89	16.1658	43.2781	63.9052	61.6199	15.4826	65.3698	13.0127	135.924	143.368
