	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	0	0	0.209102	0	0	0	0.865714	0	0	0.335869	0	0	0	0	1.19839	0	0
1CMET2-PWY: folate transformations III (E. coli)	391.209	299.829	305.075	273.493	451.06	352.995	302.52	361.424	388.716	398.729	304.826	389.362	338.66	338.243	399.89	411.595	369.187	283.841	321.038	315.673	387.101	408.915
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	58.3943	0	5.90265	0	51.9932	0.644424	0	0.330655	0	0	39.232	0.857731	0.356657	3.84926	0	0.218994	0	0.490609	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	9.28162	0	0	0	0	0	0	0	0	0	0	0	0.389976	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	2.28229	0	0	6.60983	1.89522	1.26367	0	0	0	0	3.24141	0	0	0	2.28343	0	7.42858	3.71335	0	0.407876
ANAEROFRUCAT-PWY: homolactic fermentation	257.755	309.977	343.475	218.447	118.97	228.371	300.615	253.839	268.869	180.408	149.553	157.078	275.65	267.467	200.625	221.38	182.41	226.164	225.566	182.104	185.142	163.495
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	445.476	407.249	431.97	352.883	549.768	390.825	399.635	431.89	463.995	482.004	331.512	516.277	442.958	408.805	536.606	537.036	504.148	387.608	409.422	409.733	465.55	488.461
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	50.2795	16.5134	235.851	41.0535	110.218	79.2076	218.193	16.8479	43.6319	69.0292	0	32.0961	222	33.3135	35.3727	111.601	42.4837	22.0673	42.0808	33.2439	61.0281	71.3953
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0.914571	51.2282	0	5.41391	0	51.956	1.01227	0	5.00917	0	0	46.9421	1.9011	0	5.03367	0	0.802482	0	1.92615	0	0.346276
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	140.752	75.9622	198.195	89.1311	17.5315	102.432	150.241	138.106	104.11	134.085	29.4511	70.7021	143.338	119.716	138.019	48.0298	61.4342	64.9299	116.197	25.0858	212.027	189.525
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	339.575	406.002	350.654	288.527	482.094	353.62	345.291	398.413	417.308	429.798	358.563	463.458	393.301	339.827	483.974	544.62	451.387	317.538	340.919	571.897	450.672	478.009
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	337.722	404.887	355.652	271.023	501.838	337.015	348.224	403.854	417.247	430.569	354.804	465.458	409.916	322.413	495.638	556.728	456.123	301.552	340.021	586.399	444.845	479.973
ARO-PWY: chorismate biosynthesis I	394.741	412.776	448.217	299.776	545.179	388.9	419.063	419.642	488.955	480.905	355.931	526.038	436.866	367.076	527.28	550.922	504.961	332.023	366.205	536.902	530.785	577.127
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	248.444	139.719	341.52	91.2052	213.255	141.359	294.416	181.888	223.98	233.494	172.162	158.967	283.369	115.451	220.362	185.495	150.96	102.63	160.295	100.802	258.29	262.541
AST-PWY: L-arginine degradation II (AST pathway)	0	0.612694	98.8722	0	7.40975	0	74.9544	1.64834	0	3.55346	0	0.538247	64.5144	0.980602	0.515717	7.34788	0.902392	0.384764	0	2.23998	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	130.463	91.3786	249.015	9.86089	36.5326	132.352	202.193	88.2732	82.1669	92.9401	35.606	48.5842	182.19	14.7254	82.0935	86.6176	42.6958	8.72755	106.68	34.3558	98.0528	103.252
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	440.155	483.014	429.501	401.895	519.949	411.113	400.998	405.224	441.251	434.043	389.186	445.781	432.219	435.23	485.771	466.312	440.164	424.611	408.415	445.513	455.532	489.042
CALVIN-PWY: Calvin-Benson-Bassham cycle	423.991	373.582	572.406	342.264	567.975	341.961	504.872	407.133	443.306	508.393	392.333	445.816	450.38	387.587	528.269	540.16	435.768	335.103	346.591	412.928	408.087	461.292
CARNMET-PWY: L-carnitine degradation I	0	0	0.462304	0	2.49351	0	0	0	0	1.67747	0	0	6.00832	0	0	0.125778	0	0	0	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0.253049	0	0	0	0	1.13996	0	0	0	1.23002	0.606904	0	0	0.59555	0	0	0	0.980298	0	0.224825
CENTFERM-PWY: pyruvate fermentation to butanoate	17.859	30.512	10.3391	28.4523	12.9063	42.5947	10.9053	28.2981	10.747	18.1158	14.1038	36.6394	11.3221	18.6829	35.2042	50.3855	38.9525	21.8163	35.1392	45.1037	29.6018	24.7685
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	0	0	0	0	0	0.871645	0	2.42479	0	0	0	0	1.04754	0.571388	0.963355	0.41631	0	1.18586	0	0.239394
CITRULBIO-PWY: L-citrulline biosynthesis	177.365	191.918	243.346	72.0619	25.9843	166.292	192.158	242.374	188.859	137.407	71.3769	155.665	187.683	93.4302	100.421	113.639	118.933	77.3606	133.346	21.4285	272.739	253.932
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	327.622	339.412	300.983	282.439	483.923	377.371	303.026	369.024	377.477	415.683	315.613	410.623	360.037	355.425	430.208	428.079	365.434	338.137	366	336.251	512.932	520.522
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	304.48	318.782	281.457	263.588	460.374	372.838	283.804	341.561	353.615	393.486	299.934	382.366	334.245	334.57	423.152	395.294	339.721	317.329	347.515	308.637	480.292	483.558
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	239.659	124.261	247.398	83.684	322.449	153.937	243.956	152.309	191.562	254.273	83.1042	184.647	254.671	105.62	276.054	261.176	142.868	80.9069	154.572	104.183	234.725	249.618
COLANSYN-PWY: colanic acid building blocks biosynthesis	164.45	98.8745	264.136	115.848	84.5808	144.511	232.254	146.457	152.356	154.517	73.2997	137.129	197.6	173.113	136.362	121.477	128.721	91.094	122.357	60.1453	172.945	184.774
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	420.851	436.531	462.114	312.924	561.493	408.204	436.896	446.615	511.746	507.274	377.57	550.974	456.411	361.18	551.9	566.68	532.045	342.844	385.709	559.68	557.485	600.424
CRNFORCAT-PWY: creatinine degradation I	0	1.09705	0	0.718318	0	0.490739	0	2.41767	0	0	0	1.21058	0.580935	1.60103	0.95828	1.56456	0	2.68047	0	4.19183	7.04915	5.35456
DAPLYSINESYN-PWY: L-lysine biosynthesis I	139.566	222.249	245.559	40.2617	60.1448	40.2106	202.353	70.309	163.058	45.4501	10.2329	97.9088	168.954	16.8177	59.7889	68.1404	94.2289	24.7353	26.0645	36.4354	66.7871	85.5066
DARABCATK12-PWY: D-arabinose degradation I	6.44337	6.44396	24.3174	5.26395	5.20178	0	17.8809	6.8416	2.35513	5.93326	0	0	11.472	11.362	1.58814	4.35278	0.308912	2.02962	1.30745	0.486767	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	1.13788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	135.39	0	44.3046	0	111.976	1.7267	0	13.4968	0	3.93897	18.8124	0	0	21.5518	0	0	0	3.4765	0	0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	0	0	0.285131	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	545.852	418.307	450.889	462.895	482.92	483.284	413.312	560.526	501.287	480.931	325.289	471.649	422.133	507.323	668.957	586.255	452.108	440.677	464.248	375.058	626.614	652.342
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	43.6504	0	9.97618	0	41.9482	0.25543	0	4.76915	0	1.97075	17.8984	0.359556	1.15955	11.1799	0.596502	0	0	2.2923	0	0.373958
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	2.99339	160.23	0	25.7872	0.975393	141.102	6.63013	0	10.7473	0	3.27002	146.065	4.83383	5.22244	18.9416	5.78781	0.867013	1.97369	9.70578	0	0.869594
FASYN-ELONG-PWY: fatty acid elongation -- saturated	130.896	100.247	257.997	7.90827	26.4417	143.505	202.425	89.8558	86.3849	87.973	38.1839	45.1722	193.266	10.2356	78.5786	89.2222	39.7164	7.67882	95.2464	32.8348	92.5111	99.0124
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	36.4843	1.83398	1.21951	0	0	0	0.900261	1.46006	44.3145	0	0	0	4.49073	0	0	0	0	0	0	0	3.48746	4.09161
FERMENTATION-PWY: mixed acid fermentation	107.388	59.7918	197.295	110.477	163.817	68.0891	199.773	100.466	170.371	120.764	65.967	142.674	181.371	125.506	101.644	120.325	119.552	104.178	51.1239	131.043	73.2924	71.574
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	24.0967	106.305	5.73211	62.3132	32.0776	97.2269	27.0272	15.2186	22.0645	0	103.032	78.3447	4.76762	31.1256	30.6561	103.279	6.01296	63.9365	23.6594	51.7342	60.9089
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	70.8841	17.8933	236.276	54.0512	39.981	31.9096	190.361	28.0868	93.6478	70.2824	20.8552	51.7969	157.068	33.7259	34.1171	64.6963	50.4998	39.2119	36.7908	32.5201	74.8668	68.9122
FUCCAT-PWY: fucose degradation	116.327	9.33077	235.815	64.5009	40.5539	39.6935	201.365	14.9701	93.1077	43.255	19.9853	45.9393	143.965	24.6097	74.1906	63.4002	49.1894	57.6827	42.0408	31.6324	41.7706	37.6725
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	34.7569	7.55977	135.424	0	34.5209	25.4499	98.8771	11.9543	55.5157	30.111	7.46085	27.5928	137.474	11.4027	5.75416	34.5984	34.4942	6.66775	21.4313	20.1055	15.5115	8.29248
GALACTARDEG-PWY: D-galactarate degradation I	20.7169	2.56363	192.289	9.02538	24.5293	3.25883	154.515	5.24455	18.0813	31.4594	19.0728	6.66034	115.533	12.8997	11.6943	40.1322	9.79229	9.60274	6.7938	9.78212	4.93991	4.54235
GALACTITOLCAT-PWY: galactitol degradation	8.78321	23.2496	192.178	28.4337	36.0217	0.958755	143.621	20.5466	10.1076	17.1783	135.765	3.07854	72.7354	35.3751	6.37547	25.5357	2.73514	10.8302	0.696434	1.72266	0.250881	0
GALACTUROCAT-PWY: D-galacturonate degradation I	63.0232	39.0554	113.303	30.2966	42.2171	29.2678	86.1597	58.4578	65.5854	43.0568	46.8226	52.9691	126.457	22.4141	29.431	70.626	48.4731	19.2382	21.9195	29.6746	109.154	93.4427
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	152.012	69.3268	312.833	122.837	85.7125	97.5332	259.147	93.2356	161.836	196.444	189.783	143.07	161.584	160.415	173.062	122.534	127.317	119.518	119.246	83.6095	136.416	156.285
GLUCARDEG-PWY: D-glucarate degradation I	18.1629	1.97018	158.045	2.75461	22.044	2.94776	127.052	4.02657	16.8077	26.4337	6.32044	5.49277	98.5869	5.61821	9.99246	34.1306	8.13511	6.87154	5.33548	8.10845	3.38327	3.42894
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	20.7169	2.56363	192.289	9.02538	24.5293	3.25883	154.515	5.24455	18.0813	31.4594	19.0728	6.66034	115.533	12.8997	11.6943	40.1322	9.79229	9.60274	6.7938	9.78212	4.93991	4.54235
GLUCONEO-PWY: gluconeogenesis I	228.319	205.027	311.942	200.465	137.667	187.891	281.324	237.251	208.522	193.33	130.27	168.756	273.756	218.284	225.706	213.543	175.442	192	203.808	172.283	177.285	180.119
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	148.085	186.733	280.483	84.2221	256.861	96.4101	287.722	120.382	173.02	216.799	173.366	173.821	269.253	121.557	204.445	205.023	160.136	73.8398	0	118.26	230.523	268.206
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	59.1705	42.7711	134.243	36.8392	40.7121	41.2874	102.356	62.6624	72.751	33.6394	46.2281	75.3685	155.587	26.3444	20.3044	39.2576	58.7611	23.673	27.7795	28.7107	136.364	123.116
GLUDEG-I-PWY: GABA shunt	14.4831	5.42863	57.4136	23.453	8.01744	34.918	56.3997	5.05993	0.951988	25.78	15.7624	16.0794	75.5038	12.3431	14.4691	31.3193	15.4082	9.14737	28.1565	14.3874	3.91341	6.49262
GLUTORN-PWY: L-ornithine biosynthesis I	300.562	337.428	351.169	192.608	442.813	257.012	318.684	320.972	366.598	358.84	284.889	413.664	347.693	240.557	394.435	464.457	402.983	193.269	246.287	497.58	390.539	431.569
GLYCOCAT-PWY: glycogen degradation I	193.349	85.1312	89.5251	53.1813	42.5103	207.663	101.974	93.8912	102.188	109.623	68.6681	48.3444	109.793	64.8157	127.498	80.0588	43.0451	42.8517	208.318	44.688	103.868	75.7527
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	364.987	368.745	452.66	345.101	680.902	331.189	426.726	420.646	474.504	542.379	423.62	582.323	498.586	346.855	533.56	629.444	559.25	334.719	380.277	577.156	576.153	643.491
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0.194947	24.936	0	5.0648	0	18.1492	0	0	1.05931	0	0	40.3579	0.946503	0.314631	1.36107	0.823712	0.204055	0	0.475345	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	148.251	146.393	226.401	128.332	60.6342	123.078	176.715	131.788	134.207	96.3108	40.903	96.4469	194.127	163.905	71.9393	112.489	106.447	113.586	134.241	101.018	120.356	101.591
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0	0	13.7051	0	3.20545	0	0	0.432491	0	0.966062	0	0	37.8294	0.705042	0	3.07909	0.789214	0.510092	0	0.497829	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	239.618	327.32	405.309	233.714	109.981	232.534	346.024	250.831	255.529	170.089	138.312	139.003	309.564	284.555	193.902	240.312	169.866	229.672	224.973	215.45	168.146	143.308
GLYOXYLATE-BYPASS: glyoxylate cycle	0	2.8238	233.519	5.50923	27.5901	3.24632	186.049	6.17982	0	31.0199	0	5.56802	155.527	6.47306	5.08854	43.8612	9.69349	1.65254	0	9.71384	0	0.37797
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	11.3296	42.4596	125.117	69.2213	32.2252	23.8937	79.7133	56.0818	37.378	55.1782	38.3636	36.948	84.9516	79.9028	51.3811	95.3698	41.8558	84.5143	33.1381	31.2069	24.5828	32.6531
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0.613402	113.357	0	7.22457	0	89.5851	0.875091	0	5.50788	0	0	61.6239	1.66722	0.56452	8.52109	1.07455	0.691925	0	2.61146	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	4.0269	10.952	131.818	5.43886	18.6025	1.85846	91.7128	9.66964	2.99324	9.27587	17.4305	0	74.8968	12.3626	3.23206	16.8107	3.40063	1.86952	0	3.84939	0	0.436019
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	5.49572	15.0604	127.452	21.0444	19.0421	8.0915	86.6308	13.8714	7.87955	14.0144	0	8.54619	74.8968	37.2137	4.63106	18.1894	12.3651	10.1409	4.44246	4.85239	8.96778	7.99905
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	6.71045	19.8497	165.286	21.5716	26.7594	14.3319	119.106	19.9989	9.93182	18.6424	26.9611	10.1506	102.525	38.7068	8.91063	23.1416	14.3854	10.4653	14.7446	17.9724	12.8452	12.1249
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	31.6856	280.339	34.7844	59.1166	3.2836	224.591	39.4442	4.50833	44.6356	44.1582	10.1269	140.06	20.2797	20.1104	63.5463	9.12802	15.1034	2.40311	5.77444	0.87017	0
HISDEG-PWY: L-histidine degradation I	175.2	102.837	67.9458	174.471	33.6038	203.199	89.7904	137.486	140.276	115.07	72.6749	100.553	92.871	240.9	129.255	93.4975	102.542	248.524	166.59	101.098	178.156	163.878
HISTSYN-PWY: L-histidine biosynthesis	368.519	414.389	254.397	319.925	399.129	400.557	254.559	395.558	377.154	392.83	369.909	417.512	299.015	363.179	469.936	448.832	373.957	343.235	375.3	411.695	452.478	463.31
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	5.7692	198.279	0	21.8321	7.97321	150.684	4.70891	1.61079	8.91958	1.83069	2.55991	120.346	2.37739	2.51253	19.1915	4.08003	0.676676	0	9.35801	0.355152	2.12747
HSERMETANA-PWY: L-methionine biosynthesis III	214.979	225.842	229.317	242.122	297.982	178.154	253.839	218.899	288.431	269.427	226.397	315.227	301.549	264.635	326.065	318.143	324.684	210.063	175.453	325.848	273.497	270.307
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	448.881	494.649	455.723	402.438	538.652	404.403	420.719	405.569	447.184	436.157	389.325	442.776	446.179	448.125	484.862	473.396	438.292	428.965	406.308	447.415	446.931	481.338
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	36.6982	0	4.96562	0	32.782	0	0	3.3777	0	0.275927	22.3156	0	0.600617	4.61903	0.373132	0	0	0.278989	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	5.60271	0.228646	11.2445	0	4.95154	2.35169	18.548	3.01621	3.85393	1.48885	2.49321	0.978788	31.4413	1.66481	0.782066	3.70786	1.13682	0.144885	0	0.72726	1.00978	0.740716
LACTOSECAT-PWY: lactose and galactose degradation I	35.6119	107.051	33.9377	13.6998	237.065	77.9412	143.792	129.962	83.6014	165.21	12.3953	49.7141	77.273	15.272	184.279	212.873	54.6391	9.83928	60.7793	29.323	52.5028	95.2568
LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743529	0	0	0	0	0
LIPASYN-PWY: phospholipases	0	0	496.868	0	0	4.51041	356.637	9.21143	0	0	0	0	64.4381	6.29769	0	0	0	2.76337	10.2234	0	0	0.143652
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07518	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	11.3847	263.736	0	41.258	15.5151	216.241	9.28788	3.21015	17.3479	3.62953	5.08436	185.348	4.72368	4.98115	36.5622	8.07294	1.35065	0	18.1486	0.70972	4.23344
METH-ACETATE-PWY: methanogenesis from acetate	162.331	47.5172	66.9281	41.5011	198.061	31.724	94.7866	102.766	218.67	165.405	98.8204	101.72	66.145	42.3287	132.396	174.109	108.555	30.0916	48.577	128.092	63.4519	100.65
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	37.3002	5.54033	39.967	0	27.2879	8.67626	16.3106	0	0	0	10.7345	4.60853	42.3112	0	0	19.9608	22.995	10.4106	31.2123	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	8.95652	4.98137	16.1148	22.9961	7.02277	5.68569	18.0296	7.724	6.77881	6.33863	6.95538	4.75405	19.6808	6.62446	6.65152	12.0098	10.2056	7.23421	9.01719	9.62627	2.11579	4.30193
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	10.001	262.922	0	36.773	13.7495	208.541	8.17288	2.81153	15.3742	3.19189	4.45919	174.147	4.14238	4.37973	32.6067	7.0859	1.18263	0	16.1005	0.621174	3.71084
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	15.8099	41.1063	0	4.05045	12.7367	29.5943	5.11894	2.49976	2.87019	0	5.95252	28.0607	0.950804	0.801036	3.0309	3.75227	0.429675	12.773	7.02004	0	2.35856
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	128.729	58.6956	227.706	78.0443	19.251	113.07	169.504	79.6502	50.2446	66.9318	20.3681	50.506	112.279	52.2752	70.4192	49.3766	37.2967	34.2338	119.507	25.9166	86.8956	58.1536
NONMEVIPP-PWY: methylerythritol phosphate pathway I	423.617	357.357	386.34	319.915	533.698	403.727	374.07	392.99	443.628	451.352	349.964	457.797	391.713	364.228	482.753	468.324	420.105	361.492	387.286	435.797	521.82	543.165
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	435.428	293.102	626.004	241.603	599.509	280.607	551.068	347.464	428.536	412.65	383.417	314.372	431.045	300.735	421.183	409.422	307.525	237.747	261.032	239.829	269.281	339.443
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	207.713	306.761	283.205	217.102	293.072	228.63	292.962	269.609	266.566	251.8	268.729	200.197	300.095	270.15	297.784	318.533	227.507	267.053	215.12	286.372	202.91	200.949
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0.914571	51.2282	0	5.41391	0	51.956	1.01227	0	5.00917	0	0	46.9421	1.9011	0	5.03367	0	0.802482	0	1.92615	0	0.346276
ORNDEG-PWY: superpathway of ornithine degradation	0	5.42233	258.518	0.702093	55.65	16.1315	201.799	5.54383	0	14.6123	0	1.64351	138.288	8.25007	2.19723	40.0405	6.61722	2.27718	13.8382	6.21831	0	0.176103
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	1.0883	23.4384	131.469	22.4915	25.5401	29.0368	134.162	20.6406	0.945405	24.3298	24.2879	7.25313	106.968	16.8446	5.1726	39.2848	15.8794	28.9076	27.2188	32.1872	1.5651	3.98992
P108-PWY: pyruvate fermentation to propanoate I	0	4.64001	56.5346	6.0769	31.5939	0	53.0969	1.60324	0	13.934	0	2.10369	54.7734	7.42612	6.02658	17.8833	3.25201	14.756	0	2.92662	0	0.874192
P122-PWY: heterolactic fermentation	0	0.669768	61.3411	1.2317	13.3632	1.73847	59.5764	19.2591	29.8958	2.5766	0	0	29.8779	0.562916	0	3.9754	0.474139	0.735144	0	1.0241	0	0.417229
P124-PWY: Bifidobacterium shunt	106.974	205.482	24.2169	30.7196	150.075	70.5376	54.3007	136.843	108.288	0	0	0	29.9032	7.41475	0	1.36303	0	5.96378	68.6361	1.55372	56.9455	76.023
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	9.59606	25.3348	0.151849	16.5713	0.92871	6.14263	7.95112	20.42	21.5558	3.48895	29.7823	1.85221	0.502107	13.5156	2.29793	3.51396	1.55392	9.6662	7.69895	5.07341	0.308496	1.00768
P161-PWY: acetylene degradation (anaerobic)	19.8393	24.6995	244.663	94.3112	32.773	38.9679	220.821	19.2328	41.9983	44.6886	20.028	7.63269	125.924	80.0699	31.0275	87.1745	14.6952	95.2356	43.4973	19.3978	14.2018	11.1632
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	1.65226	0	0	5.80455	0	0	0.466555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0.875702	0	2.3314	0	0	0	0	0	1.84573	0	0	0	0	3.0028	0	0	3.58298	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	140.364	28.6415	112.681	22.2242	63.3062	53.4597	96.4718	53.927	112.249	88.2291	23.2927	74.367	104.806	37.9522	75.3436	66.5696	74.5605	31.3462	42.1827	100.582	58.7045	69.5954
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	7.12818	4.19822	222.451	64.5091	30.9781	13.6522	120.638	9.90199	7.02513	46.8521	23.7394	45.3803	104.791	71.9901	63.2956	73.5596	52.7418	85.6439	30.2326	49.7619	23.7727	32.1816
P221-PWY: octane oxidation	2.44307	5.00293	34.9163	8.76632	0	3.29484	28.2903	7.28285	1.90063	6.93354	21.6381	1.3787	6.34435	7.36682	3.07397	9.85436	1.08654	3.20876	0.814988	5.69095	0	0.333055
P23-PWY: reductive TCA cycle I	0	3.40445	70.4818	4.18922	17.2239	0	35.7167	1.08281	0	0.814881	0	1.41373	65.677	5.19557	0.56371	0	2.1893	10.9272	0	1.94263	0	0.576384
P241-PWY: coenzyme B biosynthesis	0	0	0	0	0	0.658221	0	0	0	0	0	0	0.376456	0	0	0	0	0.894593	0	1.57255	0	0
P261-PWY: coenzyme M biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	1.42658	0	0	0	0	1.07152	0	0	5.17203	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	22.5506	175.761	0	46.132	11.1665	159.072	16.7811	6.63338	20.8314	0	8.86199	125.828	7.4998	6.88263	36.9845	10.663	2.69648	0	18.6508	1.48698	8.423
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	264.227	265.369	170.503	229.079	475.85	160.006	216.811	252.036	324.377	297.515	402.533	267.668	174.838	290.448	301.076	332.198	272.509	264.693	209.439	257.447	208.747	253.318
P42-PWY: incomplete reductive TCA cycle	37.9782	60.4539	62.031	93.2968	28.3148	73.6311	58.659	32.2211	0	8.38029	22.6559	55.2756	81.8791	89.678	3.59111	11.4168	47.7052	95.7523	62.7304	27.4009	8.76523	13.79
P441-PWY: superpathway of N-acetylneuraminate degradation	181.555	70.4013	310.508	146.521	85.449	96.2932	276.076	116.391	163.421	108.938	43.438	65.2911	208.517	163.9	88.5177	150.856	74.313	139.352	104.094	58.0109	64.291	73.8104
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	18.5056	26.3464	313.368	17.5083	88.9854	65.0885	259.403	21.5375	15.6963	87.1698	145.741	169.378	169.629	6.85465	114.927	135.651	177.24	27.2832	63.1239	41.1853	23.2103	50.1991
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	3.51489	0	0	0	0.453756	0	3.27155	0	0	0	0.771402	0	0
P621-PWY: nylon-6 oligomer degradation	0	7.81651	0	0	2.54653	4.72198	0.631321	12.7083	16.0863	1.44839	0	0	0	0	1.73217	0.656556	0	0	8.2004	2.6385	0	0.259474
PANTO-PWY: phosphopantothenate biosynthesis I	252.349	213.923	450.549	259.52	330.158	323.192	433.304	285.006	225.281	358.128	204.086	298.214	289.13	352.137	347.055	243.759	278.625	319.591	296.447	195.622	388.398	380.406
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	263.544	250.172	334.678	263.276	386.977	350.568	321.367	308.45	257.332	367.723	229.166	333.959	297.725	338.989	370.84	285.12	301.116	314.877	323.21	230.589	426.252	419.485
PENTOSE-P-PWY: pentose phosphate pathway	314.485	205.646	291.469	162.348	89.8822	205.699	239.306	202.682	270.203	200.508	239.093	150.386	210.438	215.156	168.88	117.696	133.722	186.746	203.156	102.936	198.942	210.192
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	428.245	416.15	410.089	323.27	498.324	421.779	405.634	450.999	473.791	466.413	364.096	479.948	411.607	385.321	524.87	537.88	464.185	373.743	407.89	504.596	510.747	538.174
